rest,user_id,review_id,sent_id,text,Target,Target_key,Polar_expression,Polarity,Polar_ans,date,stars
1,2ssBdVC1kKKe4wZNDzF5Vw,LxMrMDZvwNL7btnuqKYm8g,LxMrMDZvwNL7btnuqKYm8g:0,I agree with the previous review.,['review.'],['review'],['agree'],Positive,True,2016-08-22 19:13:22,1.0
1,2ssBdVC1kKKe4wZNDzF5Vw,LxMrMDZvwNL7btnuqKYm8g,LxMrMDZvwNL7btnuqKYm8g:1,You can definitely find better restaurants in New Orleans.,['restaurants'],['restaurant'],['better'],Positive,True,2016-08-22 19:13:22,1.0
1,2ssBdVC1kKKe4wZNDzF5Vw,LxMrMDZvwNL7btnuqKYm8g,LxMrMDZvwNL7btnuqKYm8g:2,Buyer beware: the food does not live up to its hype.,['the food'],['food'],['not live up to its hype.'],Negative,True,2016-08-22 19:13:22,1.0
1,ryNLy69uEwBSGQfSl5ZXzg,gWLiqQWybWwIZS4gT9Spbw,gWLiqQWybWwIZS4gT9Spbw:0,Acme has a welcoming atmosphere to a city guy.,['atmosphere'],['atmosphere'],['welcoming'],Positive,True,2008-09-30 15:00:00,3.0
1,ryNLy69uEwBSGQfSl5ZXzg,gWLiqQWybWwIZS4gT9Spbw,gWLiqQWybWwIZS4gT9Spbw:1,"Old, not much natural light, bustling, and kind of dirty like every bar should be.",['bar'],['bar'],['should be.'],Negative,True,2008-09-30 15:00:00,3.0
1,ryNLy69uEwBSGQfSl5ZXzg,gWLiqQWybWwIZS4gT9Spbw,gWLiqQWybWwIZS4gT9Spbw:2,I ate here twice for quick lunches.,[],[],['quick'],Negative,False,2008-09-30 15:00:00,3.0
1,ryNLy69uEwBSGQfSl5ZXzg,gWLiqQWybWwIZS4gT9Spbw,gWLiqQWybWwIZS4gT9Spbw:3,My first experience was better.,['experience'],['experience'],['better.'],Positive,True,2008-09-30 15:00:00,3.0
1,ryNLy69uEwBSGQfSl5ZXzg,gWLiqQWybWwIZS4gT9Spbw,gWLiqQWybWwIZS4gT9Spbw:4,"Seated at the oyster bar, the shucker was quite friendly.",['the shucker'],['shucker'],['quite friendly.'],Positive,True,2008-09-30 15:00:00,3.0
1,ryNLy69uEwBSGQfSl5ZXzg,gWLiqQWybWwIZS4gT9Spbw,gWLiqQWybWwIZS4gT9Spbw:7,It was pretty funny.,['It'],[],['pretty funny.'],Positive,True,2008-09-30 15:00:00,3.0
1,ryNLy69uEwBSGQfSl5ZXzg,gWLiqQWybWwIZS4gT9Spbw,gWLiqQWybWwIZS4gT9Spbw:8,"I also had the seafood gumbo and their signature po'boy, which were both decent.",['the seafood gumbo'],"['seafood', 'gumbo']",['had'],Negative,False,2008-09-30 15:00:00,3.0
1,ryNLy69uEwBSGQfSl5ZXzg,gWLiqQWybWwIZS4gT9Spbw,gWLiqQWybWwIZS4gT9Spbw:9,Go for oysters and beer.,['oysters'],['oyster'],['Go'],Positive,True,2008-09-30 15:00:00,3.0
1,Zq5FPoa1yOFGEHGnSltWqw,KNgC9AqrK8lAztmDnmZReg,KNgC9AqrK8lAztmDnmZReg:0,Excellent sensible priced local food.,['local food.'],"['local', 'food']",['priced'],Positive,True,2008-06-21 05:22:30,4.0
1,Zq5FPoa1yOFGEHGnSltWqw,KNgC9AqrK8lAztmDnmZReg,KNgC9AqrK8lAztmDnmZReg:0,Excellent sensible priced local food.,['local food.'],"['local', 'food']",['Excellent'],Positive,True,2008-06-21 05:22:30,4.0
1,Zq5FPoa1yOFGEHGnSltWqw,KNgC9AqrK8lAztmDnmZReg,KNgC9AqrK8lAztmDnmZReg:1,"Recommended, very casual.",[],[],['very casual.'],Positive,False,2008-06-21 05:22:30,4.0
1,LbUNMg-xDib6UMmkh32a0w,MDnLLtUkZV5BhExaCNnPiQ,MDnLLtUkZV5BhExaCNnPiQ:0,Do not go here for oysters if you value your dental work.,['here'],[],['Do not go'],Negative,True,2018-04-06 00:42:47,1.0
1,LbUNMg-xDib6UMmkh32a0w,MDnLLtUkZV5BhExaCNnPiQ,MDnLLtUkZV5BhExaCNnPiQ:2,Save yourself the headache and literally hundreds of dollars in dental bills by going somewhere else.,['headache'],['headache'],['Save yourself'],Negative,True,2018-04-06 00:42:47,1.0
1,nMFlEQRj3MAeo9pcjbGCKw,1Y-T419l7IPwfkXzMeP4vQ,1Y-T419l7IPwfkXzMeP4vQ:2,Well worth the wet toes and damp hair.,['wet toes'],"['wet', 'toes']",['Well worth'],Positive,True,2017-09-07 18:52:13,5.0
1,nMFlEQRj3MAeo9pcjbGCKw,1Y-T419l7IPwfkXzMeP4vQ,1Y-T419l7IPwfkXzMeP4vQ:2,Well worth the wet toes and damp hair.,['hair.'],['hair'],['Well worth'],Positive,True,2017-09-07 18:52:13,5.0
1,nMFlEQRj3MAeo9pcjbGCKw,1Y-T419l7IPwfkXzMeP4vQ,1Y-T419l7IPwfkXzMeP4vQ:5,"Garlic, parmesan and herb butter are the best combination for a warm oyster.",[],[],['best'],Positive,False,2017-09-07 18:52:13,5.0
1,nMFlEQRj3MAeo9pcjbGCKw,1Y-T419l7IPwfkXzMeP4vQ,1Y-T419l7IPwfkXzMeP4vQ:6,Dipping your bread in the sauce is even better.,[],[],['even better.'],Negative,False,2017-09-07 18:52:13,5.0
1,nMFlEQRj3MAeo9pcjbGCKw,1Y-T419l7IPwfkXzMeP4vQ,1Y-T419l7IPwfkXzMeP4vQ:7,I would wait in like again if I had to.,[],[],['would wait in like again'],Positive,False,2017-09-07 18:52:13,5.0
1,nMFlEQRj3MAeo9pcjbGCKw,1Y-T419l7IPwfkXzMeP4vQ,1Y-T419l7IPwfkXzMeP4vQ:8,These oysters and fast service are well worth it!,['These oysters'],['oyster'],['well worth it!'],Positive,True,2017-09-07 18:52:13,5.0
1,nMFlEQRj3MAeo9pcjbGCKw,1Y-T419l7IPwfkXzMeP4vQ,1Y-T419l7IPwfkXzMeP4vQ:8,These oysters and fast service are well worth it!,['fast service'],"['fast', 'service']",['well worth it!'],Positive,True,2017-09-07 18:52:13,5.0
1,GlIZUo-IhmsqBGEsR-JEBg,QCK9UCJVaeAJZgnsP_4h0w,QCK9UCJVaeAJZgnsP_4h0w:0,The wait was a worth it!,['The wait'],['wait'],['a worth it!'],Negative,False,2019-05-07 21:12:44,5.0
1,GlIZUo-IhmsqBGEsR-JEBg,QCK9UCJVaeAJZgnsP_4h0w,QCK9UCJVaeAJZgnsP_4h0w:2,Delicious and shrimp were great as well.,[],[],['Delicious'],Positive,False,2019-05-07 21:12:44,5.0
1,GlIZUo-IhmsqBGEsR-JEBg,QCK9UCJVaeAJZgnsP_4h0w,QCK9UCJVaeAJZgnsP_4h0w:2,Delicious and shrimp were great as well.,['shrimp'],['shrimp'],['great'],Positive,True,2019-05-07 21:12:44,5.0
1,GlIZUo-IhmsqBGEsR-JEBg,QCK9UCJVaeAJZgnsP_4h0w,QCK9UCJVaeAJZgnsP_4h0w:3,Medley platter- Gumbo was good but the jambalaya was by far the best dish.,['Medley platter- Gumbo'],"['medley', 'platter', 'gumbo']",['good'],Positive,True,2019-05-07 21:12:44,5.0
1,GlIZUo-IhmsqBGEsR-JEBg,QCK9UCJVaeAJZgnsP_4h0w,QCK9UCJVaeAJZgnsP_4h0w:4,Beans were good served over white rice.,['Beans'],['beans'],['good served'],Positive,True,2019-05-07 21:12:44,5.0
1,GlIZUo-IhmsqBGEsR-JEBg,QCK9UCJVaeAJZgnsP_4h0w,QCK9UCJVaeAJZgnsP_4h0w:8,But the food is pretty good and our server was a sweetheart.,['the food'],['food'],['pretty good'],Positive,True,2019-05-07 21:12:44,5.0
1,GlIZUo-IhmsqBGEsR-JEBg,QCK9UCJVaeAJZgnsP_4h0w,QCK9UCJVaeAJZgnsP_4h0w:8,But the food is pretty good and our server was a sweetheart.,['our server'],['server'],['a sweetheart.'],Positive,True,2019-05-07 21:12:44,5.0
1,9zqvrIY6iygeJqSQhbpKVQ,uzdjUaTYSGmvifc9L6Xz0w,uzdjUaTYSGmvifc9L6Xz0w:2,"On average it was a 3*, but the gumbo was a 5* plus.",['the gumbo'],['gumbo'],['a 5* plus.'],Negative,False,2010-12-29 22:35:44,4.0
1,9zqvrIY6iygeJqSQhbpKVQ,uzdjUaTYSGmvifc9L6Xz0w,uzdjUaTYSGmvifc9L6Xz0w:4,"Not a big oyster fan, so can attest to thier offerings.","['oyster fan,']","['oyster', 'fan']",['big'],Negative,False,2010-12-29 22:35:44,4.0
